comprimé;0;MEDROL 100 mg, comprimé
gélule;0;LOPERAMIDE ARROW 2 mg, gélule
comprimé pelliculé;0;ETORICOXIB KRKA 60 mg, comprimé pelliculé
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE ARROW 6 mg, comprimé sublingual
solution injectable;1;GENTAMICINE;GENTAMICINE PANPHARMA 10 mg, solution injectable
comprimé gastro-résistant(e);0;RABEPRAZOLE ALTER 20 mg, comprimé gastro-résistant
poudre et  solvant pour solution injectable;0;NOVOSEVEN 2 mg (100 KUI), poudre et solvant pour solution injectable
poudre pour solution injectable;1;CEFTAZIDIME ANHYDRE;CEFTAZIDIME PANMEDICA 2 g, poudre pour solution injectable
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC ARROW CONSEIL 1 %, gel
gélule gastro-résistant(e);0;OMEPRAZOLE ALMUS 20 mg, gélule gastro-résistante
comprimé pelliculé;0;ZOLMITRIPTAN SANDOZ 2,5 mg, comprimé pelliculé
comprimé;0;TOLUCOMBI 80 mg/25 mg, comprimé
comprimé pelliculé;1;ESCITALOPRAM;ESCITALOPRAM CRISTERS 5 mg, comprimé pelliculé
gélule;0;CELECOXIB HCS 200 mg, gélule
gélule à libération prolongée;1;GALANTAMINE;GALANTAMINE KRKA LP 8 mg, gélule à libération prolongée
poudre et  solvant pour solution pour perfusion;0;TEGELINE 50 mg/mL, poudre et solvant pour solution pour perfusion
solution injectable;0;BICARBONATE DE SODIUM 4,2 POUR CENT (0,42 g/10 ml) RENAUDIN, solution injectable en ampoule
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE BIOGARAN 20 mg, gélule gastro-résistante
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL SANDOZ 4 mg, comprimé sécable
gélule;0;OROFLUCO 150 mg, gélule
gel pour application;0;ROACCUTANE 0,05 POUR CENT, gel pour application locale
solution pour pulvérisation;1;DESMOPRESSINE;OCTIM 150 microgrammes/dose, solution pour pulvérisation nasale
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE TEVA 16 mg/12,5 mg, comprimé
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE ISOMED LP 75 mg, gélule à libération prolongée
solution injectable;0;CORDARONE 150 mg/3 ml, solution injectable en ampoule (IV)
solution buvable;0;CLIMAXOL, solution buvable en flacon
comprimé pelliculé;0;CLARITHROMYCINE BIOGARAN 500 mg, comprimé pelliculé
suppositoire;0;SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS
comprimé enrobé;1;MÉTHYLDOPA ANHYDRE;ALDOMET 500 mg, comprimé enrobé
solution à diluer pour perfusion;0;NOXAFIL 300 mg, solution à diluer pour perfusion
solution à diluer pour perfusion;1;GEMCITABINE;GEMCITABINE SANDOZ 40 mg/ml, solution à diluer pour perfusion
solution buvable;0;LEVETIRACETAM ACTAVIS GROUP 100 mg/ml, solution buvable
comprimé sécable;0;AMISULPRIDE MYLAN 200 mg, comprimé sécable
poudre pour suspension buvable;0;MEDIVEINE 600 mg, poudre pour suspension buvable en sachet-dose
comprimé pelliculé;0;TADALAFIL MYLAN 10 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;ALFALFA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution à diluer pour perfusion;1;VINFLUNINE;JAVLOR 25 mg/ml, pour solution à diluer pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;DIGITALIS PURPUREA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé orodispersible;1;PREDNISOLONE;PREDNISOLONE ARROW 20 mg, comprimé orodispersible
comprimé;0;NICORANDIL MYLAN PHARMA 20 mg, comprimé
poudre pour solution injectable ou pour perfusion;1;TÉMOCILLINE;NEGABAN 2 g, poudre pour solution injectable ou pour perfusion
comprimé pelliculé sécable;0;CETIRIZINE NEPENTHES 10 mg, comprimé pelliculé sécable
gélule;0;DIMEGAN 12 mg, gélule
crème;0;DEXERYL, crème
gélule;0;PREGABALINE EVOLUGEN 100 mg, gélule
comprimé pelliculé sécable;0;VALSARTAN ISOMED 160 mg, comprimé pelliculé sécable
gélule;1;ÉLIGLUSTAT;CERDELGA 84 mg, gélule
crème;0;ACICLOVIR CRISTERS CONSEIL 5 %, crème
dispositif;0;RIVASTIGMINE EG 4,6 mg/24 h, dispositif transdermique
poudre et  solvant pour usage parentéral;0;ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 550 microgrammes, poudre et solvant pour solution injectable
comprimé pelliculé;0;NISISCO 160 mg/12,5 mg, comprimé pelliculé
solution buvable;0;FENUGRENE, solution buvable
comprimé pelliculé;0;SPIRAMYCINE/METRONIDAZOLE BIOGARAN 750.000 UI/125 mg, comprimé pelliculé
comprimé pelliculé;1;SILDÉNAFIL;SILDENAFIL MYLAN 25 mg, comprimé pelliculé
comprimé pelliculé sécable;0;SIMVASTATINE RATIOPHARM 20 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;CEANOTHUS AMERICANUS SICCUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;SPEDRA 100 mg, comprimé
comprimé pelliculé sécable;0;RYTHMOL 300 mg, comprimé pelliculé sécable
gélule;1;AMLODIPINE;AMLODIPINE ISOMED 5 mg, gélule
émulsion fluide pour application;0;ECONAZOLE TEVA SANTE 1 POUR CENT, émulsion fluide pour application cutanée
comprimé pelliculé;0;LEVETIRACETAM ZENTIVA LAB 250 mg, comprimé pelliculé
solution buvable;1;AMBROXOL BASE;AMBROXOL TEVA CONSEIL 0,3 %, solution buvable
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCODONE MYLAN LP 20 mg, comprimé pelliculé à libération prolongée
solution pour perfusion;0;ZYVOXID 2 mg/ml, solution pour perfusion
dispositif;0;EXELON 9,5 mg/24 h, dispositif transdermique
comprimé pelliculé;0;TELFAST 120 mg, comprimé pelliculé
comprimé;0;HALDOL 5 mg, comprimé
comprimé dispersible sécable;1;FLUOXÉTINE BASE;PROZAC 20 mg, comprimé dispersible sécable
comprimé sécable;0;PRAVASTATINE ARROW GENERIQUES 20 mg, comprimé sécable
poudre pour solution buvable;0;PARACETAMOL ARROW 500 mg, poudre pour solution buvable en sachet-dose
comprimé sécable;0;ENALAPRIL/HYDROCHLOROTHIAZIDE ARROW 20 mg/12,5 mg, comprimé sécable
granulés enrobé;0;LEVIDCEN 1000 mg, granulés enrobés en sachet
comprimé;0;LEVONORGESTREL BIOGARAN 1500 microgrammes, comprimé
lotion;0;PRIODERM, lotion
suspension pour inhalation par nébuliseur;0;BUDESONIDE CRISTERS 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
solution injectable;0;LASILIX 20 mg/2 ml, solution injectable en ampoule
comprimé pelliculé;1;CEFPODOXIME;CEFPODOXIME CRISTERS 100 mg, comprimé pelliculé
solution et  solution pour perfusion;2;GLUCOSE ANHYDRE;LYSINE;CLINIMIX N12 G20 E, solution pour perfusion en poche bicompartiment
comprimé;0;TRIMEBUTINE ARROW GENERIQUES 100 mg, comprimé
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 100 mg/12,5 mg, comprimé pelliculé
solution buvable;0;DOLKO 60 mg/2 ml, solution buvable en flacon
comprimé orodispersible;0;OLANZAPINE MYLAN GENERIQUES 10 mg, comprimé orodispersible
comprimé pelliculé sécable;0;NOCERTONE 60 mg, comprimé pelliculé sécable
poudre pour solution buvable;0;FORLAX 4 g, poudre pour solution buvable en sache
comprimé;1;RIZATRIPTAN;MAXALT 5 mg, comprimé
pastille à sucer;0;DRILL ENROUEMENT SANS SUCRE, pastille à sucer
comprimé sécable;0;PARACETAMOL SANDOZ 1 g, comprimé sécable
gélule gastro-résistant(e);1;CYSTÉAMINE;PROCYSBI 25 mg, gélule gastro-résistante
collyre en solution;0;ECOVITAMINE B12 0,05 %, collyre en solution en flacon
solution injectable pour perfusion;0;CARBOPLATINE HOSPIRA 10 mg/ml, solution injectable pour perfusion
pommade pour application et;0;HEC, pommade pour application cutanée et nasale
poudre pour suspension buvable;0;DIOSMINE MYLAN 600 mg, poudre pour suspension buvable en sachet-dose
crème;0;MYCOHYDRALIN, crème
poudre pour inhalation;1;SALMÉTÉROL BASE;SERETIDE DISKUS 250 microgrammes/50 microgrammes/dose, poudre pour inhalation en récipient unidose
gélule;0;PREGABALINE EG 75 mg, gélule
comprimé pelliculé;1;METFORMINE BASE;METFORMINE TEVA 1000 mg, comprimé pelliculé
gélule;1;AMLODIPINE;AMLODIPINE BIOGARAN 10 mg, gélule
comprimé pelliculé;1;CÉFUROXIME;CEFUROXIME ACTAVIS 500 mg, comprimé pelliculé
comprimé quadrisécable;1;NÉBIVOLOL BASE;NEBIVOLOL ZENTIVA 5 mg, comprimé quadrisécable
comprimé pelliculé;1;IBUPROFÈNE;NUROFENFEM 400 mg, comprimé pelliculé
solution injectable;0;AETOXISCLEROL TAMPONNE 0,5 POUR CENT (10 mg/2 ml), solution injectable (IV) en ampoule
comprimé;0;REPAGLINIDE RANBAXY 2 mg, comprimé
poudre et  solvant pour suspension injectable;0;VACCIN RABIQUE INACTIVE MERIEUX, poudre et solvant pour suspension injectable. Vaccin rabique préparé sur cellules diploïdes humaines
solution injectable;1;IODE;IOMERON 200 (200 mg d'Iode/mL), solution injectable
comprimé sécable;1;DOXYCYCLINE BASE;DOXYCYCLINE TEVA 100 mg, comprimé sécable
comprimé;0;MODAFINIL EG 100 mg, comprimé
solution injectable ou pour perfusion;1;IODE;IOPAMIGITA 370 mg d'iode/mL, solution pour injection ou pour perfusion
comprimé dispersible;0;LAMOTRIGINE SANDOZ 25 mg, comprimé dispersible
comprimé pelliculé sécable;1;LÉVOFLOXACINE;LEVOFLOXACINE ACTAVIS 500 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;LERCANIDIPINE TEVA 10 mg, comprimé pelliculé sécable
solution gouttes;1;RIFAMYCINE;OTOFA, solution auriculaire en gouttes
solution à diluer pour perfusion;1;ACIDE ZOLÉDRONIQUE ANHYDRE;ZOMETA 4 mg/5 ml, solution à diluer pour perfusion
poudre et  solvant pour solution injectable et pour perfusion;0;RESPREEZA 1000 mg, poudre et solvant pour solution injectable / perfusion
suspension buvable;0;GAVISCONELL MENTHE SANS SUCRE, suspension buvable en sachet-dose édulcorée à la saccharine sodique
comprimé pelliculé sécable;1;MORPHINE;SEVREDOL 20 mg, comprimé pelliculé sécable
comprimé orodispersible;0;RISPERDALORO 0,5 mg, comprimé orodispersible
comprimé orodispersible;1;PREDNISOLONE;PREDNISOLONE EG 20 mg, comprimé orodispersible
comprimé pelliculé sécable;0;HYDROXYZINE EG 25 mg, comprimé pelliculé sécable
comprimé effervescent(e);0;VITAMINE C UPSA EFFERVESCENTE 1000 mg, comprimé effervescent
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOPRAZOLE CRISTERS 20 mg, comprimé gastro-résistant
comprimé pelliculé;1;MÉMANTINE;MEMANTINE RANBAXY 20 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;RUMEX CRISPUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution buvable;0;REBETOL 40 mg/ml, solution buvable
capsule molle;0;ADVILCAPS 400 mg, capsule molle
comprimé orodispersible;0;BRILIQUE 90 mg, comprimé orodispersible
solution injectable pour perfusion;0;HIDONAC 5 g/25 ml, solution injectable pour perfusion
film orodispersible;1;SILDÉNAFIL;XYBILUN 50 mg, film orodispersible
gélule gastro-résistant(e);0;OMEPRAZOLE MYLAN PHARMA 10 mg, gélule gastro-résistante
solution injectable;0;HEPARINE CALCIQUE PANPHARMA 25.000 UI/mL, solution injectable (S.C.)
comprimé pelliculé;0;MYCOPHENOLATE MOFETIL RANBAXY 500 mg, comprimé pelliculé
comprimé pelliculé;0;BICALUTAMIDE TEVA 50 mg, comprimé pelliculé
pommade;0;STERDEX, pommade ophtalmique en récipient unidose
gélule;1;TACROLIMUS ANHYDRE;ADOPORT 0,5 mg, gélule
gélule;0;GABAPENTINE ARROW 400 mg, gélule
comprimé pelliculé sécable;0;LERCANIDIPINE BIOGARAN 10 mg, comprimé pelliculé sécable
comprimé;0;ALLOPURINOL MYLAN 100 mg, comprimé
suspension injectable à libération prolongée;1;PALIPÉRIDONE;XEPLION 75 mg, suspension injectable à libération prolongée
comprimé sécable;0;GLICLAZIDE MYLAN 80 mg, comprimé sécable
poudre et  solvant pour suspension injectable à libération prolongée;0;RISPERDALCONSTA L.P. 25 mg/2 ml, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie
comprimé;0;SPEDRA 200 mg, comprimé
comprimé pelliculé;0;PIRACETAM BIOGARAN 400 mg, comprimé pelliculé
solution buvable;1;MAGNÉSIUM;SPASMAG, solution buvable en ampoule
granulés;1;MONTÉLUKAST;MONTELUKAST ARROW 4 mg, granulés en sachet-dose
comprimé pelliculé;0;BISOPROLOL RPG 5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;GALVUS 50 mg, comprimé
solution injectable;0;PETHIDINE RENAUDIN 50 mg/ml, solution injectable en ampoule
 comprimé et solution(s) et granules et poudre et pommade;0;CONVALLARIA MAJALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé dispersible;1;AMOXICILLINE ANHYDRE;CLAMOXYL 1 g, comprimé dispersible
solution injectable;1;SUFENTANIL;SUFENTANIL RENAUDIN 50 microgrammes/mL, solution injectable (IV ou péridurale)
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM EVOLUGEN 10 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;VALSARTAN KRKA 160 mg, comprimé pelliculé sécable
comprimé;0;TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 80 mg/12,5 mg, comprimé
suspension pour inhalation par nébuliseur;0;BUDESONIDE ARROW 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
gélule gastro-résistant(e);1;DULOXÉTINE;DULOXETINE BIOGARAN 60 mg, gélule gastro-résistante
poudre pour solution buvable;0;TROXERUTINE BIOGARAN CONSEIL 3,5 g, poudre pour solution buvable en sachet-dose
solution pour perfusion;0;BACLOFENE AGUETTANT 0,5 mg/ml, solution pour perfusion pour voie intrathécale en ampoule
suppositoire sécable;0;DOLIPRANE 100 mg, suppositoire sécable
comprimé sécable;0;RAMIPRIL MYLAN 5 mg, comprimé sécable
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE CRISTERS 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
solution pour bain de bouche;0;CHLORHEXIDINE/CHLOROBUTANOL ZENTIVA 0,5 ml/0,5 g pour 100 ml, solution pour bain de bouche en flacon
poudre et  solvant pour solution injectable;0;RIXUBIS 2000 UI, poudre et solvant pour solution injectable
solution injectable;0;OVITRELLE 250 microgrammes, solution injectable en stylo prérempli
gélule;0;ARKOGELULES FUMETERRE, gélule
collyre;1;TIMOLOL BASE;OPHTIM 0,50 POUR CENT (1,25 mg/0,25 ml), collyre en récipient unidose
comprimé pelliculé;1;ALMOTRIPTAN;ALMOTRIPTAN ZENTIVA 12,5 mg, comprimé pelliculé
comprimé;0;ALLOPURINOL MYLAN 200 mg, comprimé
gel pour application;0;ERYTHROGEL 4 %, gel pour application cutanée
solution buvable;0;OXOMEMAZINE ARROW 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
solution pour inhalation par nébuliseur;1;BROMURE D'IPRATROPIUM ANHYDRE;IPRATROPIUM AGUETTANT ADULTES 0,5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE RATIOPHARM 100 mg/12,5 mg, comprimé pelliculé
gélule;0;UROREC 8 mg, gélule
comprimé sécable à libération prolongée;1;LITHIUM;TERALITHE LP 400 mg, comprimé sécable à libération prolongée
comprimé enrobé;0;JAMYLENE 50 mg, comprimé enrobé
solution injectable;1;TESTOSTÉRONE;NEBIDO 1000 mg/4 ml, solution injectable
comprimé pelliculé sécable;0;ATENOLOL SANDOZ 50 mg, comprimé pelliculé sécable
granules et  crème et  solution en gouttes en gouttes;0;ALLIUM CEPA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé orodispersible;1;DONÉPÉZIL BASE;ARICEPT 10 mg, comprimé orodispersible
 comprimé et solution(s) et granules et poudre et pommade;0;PAREIRA BRAVA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
capsule molle;1;TAFAMIDIS;VYNDAQEL 20 mg, capsule molle
comprimé orodispersible;0;ARIPIPRAZOLE TEVA 15 mg, comprimé orodispersible
poudre pour solution injectable ou pour perfusion;1;RÉMIFENTANIL BASE;REMIFENTANIL MYLAN 1 mg, poudre pour solution injectable ou pour perfusion
vernis à ongles médicamenteux(se);1;AMOROLFINE BASE;AMOROLFINE ZENTIVA 5 %, vernis à ongles médicamenteux
comprimé;1;ACIDE ALENDRONIQUE;FOSAMAX 70 mg, comprimé
comprimé sécable;0;ALPRAZOLAM EG 0,25 mg, comprimé sécable
comprimé;1;ACIDE ALENDRONIQUE;ADROVANCE 70 mg/2800 UI, comprimé
gélule;0;TEMOZOLOMIDE SUN 5 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;GELSEMIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE EG 50 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé sécable;0;CETIRIZINE RATIOPHARM CONSEIL 10 mg, comprimé pelliculé sécable
suppositoire;0;TITANOREINE, suppositoire
comprimé;2;AMLODIPINE;PÉRINDOPRIL;PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 4 mg/10 mg, comprimé
comprimé;0;EZETIMIBE/SIMVASTATINE EG 10 mg/20 mg, comprimé
comprimé pelliculé gastro-résistant(e);0;DEPAMIDE 300 mg, comprimé pelliculé gastro-résistant
comprimé sécable;0;RAMIPRIL CRISTERS 10 mg, comprimé sécable
comprimé;1;ACIDE ALENDRONIQUE;ACIDE ALENDRONIQUE RANBAXY 70 mg, comprimé
comprimé pelliculé;1;TÉNOFOVIR DISOPROXIL;TENOFOVIR DISOPROXIL TEVA 245 mg, comprimé pelliculé
comprimé à libération prolongée;1;CARBIDOPA ANHYDRE;SINEMET LP 200 mg/50 mg, comprimé à libération prolongée
 crème et solution et granules et poudre;0;ARSENICUM ALBUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé;0;ALLOPURINOL MYLAN 300 mg, comprimé
solution à diluer injectable;0;CHLORURE DE SODIUM HYPERTONIQUE COOPER 10 %, solution à diluer injectable
granulés pour suspension buvable;0;CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
solution pour application;0;EAU OXYGENEE 10 VOLUMES EVOLUPHARM, solution pour application cutanée
comprimé à libération prolongée;1;FÉSOTÉRODINE;TOVIAZ 4 mg, comprimé à libération prolongée
poudre pour solution injectable;1;CÉFAMANDOLE BASE;CEFAMANDOLE FLAVELAB 750 mg, poudre pour solution injectable (IM - IV)
solution à diluer pour perfusion;0;FLUOROURACILE ACCORD 50 mg/ml, solution à diluer pour perfusion
poudre pour inhalation et  poudre pour inhalation pour inhalation;2;VILANTÉROL;UMÉCLIDINIUM;ANORO 55 microgrammes/22 microgrammes, poudre pour inhalation en récipient unidose
solution pour application;0;DIASEPTYL 0,5 %, solution pour application cutanée
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE KRKA 20 mg, comprimé pelliculé
comprimé;0;GLIMEPIRIDE ZYDUS 1 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;BARYTA CARBONICA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé pelliculé sécable;0;CETIRIZINE ALMUS 10 mg, comprimé pelliculé sécable
gelée;0;TRANSULOSE, gelée orale en pot
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE ARISTO 40 mg, gélule gastro-résistante
gélule;0;FENOFIBRATE ZYDUS 300 mg, gélule
pommade;0;AUREOMYCINE EVANS 1 POUR CENT, pommade ophtalmique
comprimé sécable;0;AMISULPRIDE BIOGARAN 100 mg, comprimé sécable
comprimé à libération prolongée;1;PRAMIPEXOLE BASE;PRAMIPEXOLE SANDOZ LP 0,26 mg, comprimé à libération prolongée
comprimé;0;TRIMEBUTINE MYLAN CONSEIL 100 mg, comprimé
solution injectable;0;LEVEMIR PENFILL 100 Unités/ml, solution injectable en cartouche
gélule;0;MYCOPHENOLATE MOFETIL TEVA 250 mg, gélule
pommade;0;DEXPANTHENOL ARROW 5 %, pommade
granules et  crème et  solution en gouttes en gouttes;0;ANGELICA ARCHANGELICA DECOCTE WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;COLLINSONIA CANADENSIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé dispersible orodispersible;1;PHLOROGLUCINOL ANHYDRE;PHLOROGLUCINOL SANDOZ CONSEIL 80 mg, comprimé orodispersible
solution pour perfusion;1;LÉVOBUPIVACAÏNE;CHIROCAÏNE 1,25 mg/ml, solution pour perfusion
comprimé;1;AMLODIPINE;TWYNSTA 40 mg/10 mg, comprimé
poudre pour solution injectable;1;AMIKACINE;AMIKACINE MYLAN 250 mg, poudre pour solution injectable
poudre et  solvant pour solution injectable;0;AFSTYLA 3000 UI, poudre et solvant pour solution injectable
poudre et  solvant pour solution injectable;0;GONAL-F 450 UI/0,75 ml (33 microgrammes/0,75 ml), poudre et solvant pour solution injectable
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE RATIOPHARM 160 mg/12,5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;ANTHEMIS NOBILIS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
comprimé pelliculé;0;OLMETEC 40 mg, comprimé pelliculé
poudre pour inhalation;0;ASMABEC CLICKHALER 250 microgrammes/dose, poudre pour inhalation
comprimé;0;PROCALMIL, comprimé
solution pour perfusion;0;TRIFLUCAN 2 mg/ml, solution pour perfusion
comprimé pelliculé;0;CELSENTRI 300 mg, comprimé pelliculé
comprimé pelliculé;0;MUCOTHIOL 200 mg, comprimé pelliculé
comprimé sécable à libération modifiée;0;GLICLAZIDE EVOLUGEN 60 mg, comprimé sécable à libération modifiée
granules et  solution en gouttes en gouttes;0;TARAXACUM DENS LEONIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;EXEMESTANE ARROW 25 mg, comprimé pelliculé
crème;0;ACICLOVIR MYLAN PHARMA 5 %, crème
gélule;0;EPITOMAX 15 mg, gélule
suspension buvable;0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM ARROW 500 mg/267 mg pour 10 ml, suspension buvable en sachet
poudre pour solution buvable;0;PARACETAMOL TEVA 500 mg, poudre pour solution buvable en sachet-dose
solution injectable;0;REBIF 44 microgrammes, solution injectable en seringue préremplie
comprimé pelliculé;0;BISOPROLOL ACCORD HEALTHCARE 5 mg, comprimé pelliculé sécable
granulés pour suspension buvable;0;CARBOMIX 50 g, granulés pour suspension buvable en flacon
comprimé pelliculé;0;VALDOXAN 25 mg, comprimé pelliculé
comprimé pelliculé;0;IMUREL 25 mg, comprimé pelliculé
solution buvable;1;FLUOXÉTINE BASE;PROZAC 20 mg/5 ml, solution buvable en flacon
comprimé orodispersible;0;OLANZAPINE MYLAN 10 mg, comprimé orodispersible
comprimé pelliculé;0;MIANSERINE ZENTIVA 10 mg, comprimé pelliculé
sirop;0;NAUSICALM, sirop
comprimé et  comprimé;0;ORALAIR 100 IR & 300 IR, comprimé sublingual
crème;1;BÉTAMÉTHASONE;DIPROSONE 0,05 %, crème
gélule gastro-soluble et  gélule gastro-résistant(e);0;CARBOSYLANE, gélule
comprimé;0;GLIMEPIRIDE TEVA SANTE 3 mg, comprimé
solution injectable pour perfusion;1;CISATRACURIUM;CISATRACURIUM TEVA 5 mg/ml, solution injectable/pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;SAPONARIA OFFICINALIS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
comprimé;0;BETAHISTINE ZENTIVA 8 mg, comprimé
comprimé pelliculé sécable;0;KERLONE 20 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE ZENTIVA 20 mg, comprimé pelliculé
comprimé;0;ACARBOSE ARROW LAB 50 mg, comprimé
comprimé effervescent(e);0;DOLIPRANE 500 mg, comprimé effervescent
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE BOUCHARA-RECORDATI 50 mg/12,5 mg, comprimé pelliculé
suspension injectable;0;INSULATARD FLEXPEN 100 unités internationales/ml, suspension injectable en stylo prérempli
comprimé sécable;0;FLECAINIDE RPG 100 mg, comprimé sécable
comprimé pelliculé;0;SIMVASTATINE PHR LAB 10 mg, comprimé pelliculé
comprimé pelliculé;0;LAMIVUDINE MYLAN 150 mg, comprimé pelliculé sécable
comprimé dispersible orodispersible;0;SPASMOCALM 80 mg, comprimé orodispersible
comprimé;0;ASPRO 500 mg, comprimé
comprimé sécable;0;SOTALOL ARROW 80 mg, comprimé sécable
comprimé pelliculé;1;IMATINIB;IMATINIB MYLAN 100 mg, comprimé pelliculé
comprimé à libération modifiée;0;GLICLAZIDE EG LABO LABORATOIRES EUROGENERICS 30 mg, comprimé à libération modifiée
comprimé;0;OLANZAPINE RATIOPHARM 5 mg, comprimé
comprimé sécable;0;GLICLAZIDE BIOGARAN 80 mg, comprimé sécable
comprimé;0;CHLORMADINONE SANDOZ 5 mg, comprimé
comprimé enrobé;1;CÉFUROXIME;CEFUROXIME ZENTIVA 250 mg, comprimé enrobé
comprimé pelliculé;0;LEVETIRACETAM ZENTIVA 250 mg, comprimé pelliculé
suspension injectable;0;FLUARIXTETRA, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté
granules et  poudre et  solution en gouttes en gouttes;0;IPECA DECOCTE WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
solution injectable;0;MIDAZOLAM AGUETTANT 1 mg/ml, solution injectable
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE ZYDUS 500 mg/5 ml, poudre pour suspension buvable
sirop;0;BRONCHOKOD ADULTES, sirop
comprimé pelliculé;1;METFORMINE BASE;METFORMINE SANDOZ 500 mg, comprimé pelliculé
solution injectable;0;CLOPIXOL A ACTION SEMI-PROLONGEE 50 mg/ml, solution injectable I.M.
solution injectable;0;BINOCRIT 10 000 UI/1 ml, solution injectable en seringue pré-remplie
poudre pour solution injectable pour perfusion;1;MÉROPÉNEM ANHYDRE;MEROPENEM ARROW 1 g, poudre pour solution injectable/pour perfusion
gélule;1;OSÉLTAMIVIR;EBILFUMIN 75 mg, gélule
solution injectable;1;ACIDE FOLINIQUE;FOLINATE DE CALCIUM SANDOZ 10 mg/ml, solution injectable
comprimé pelliculé;1;SILDÉNAFIL;SILDENAFIL ARROW LAB 100 mg, comprimé pelliculé
