1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;HIZENTRA 200 mg/ml, solution injectable sous-cutanée
0;PRAVASTATINE SANDOZ 40 mg, comprimé
0;NUCTALON 2 mg, comprimé
0;ZOPICLONE ALTER 7,5 mg, comprimé pelliculé sécable
0;FENTANYL SANDOZ 50 microgrammes/heure, dispositif transdermique
0;CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
2;DIGLUCONATE DE CHLORHEXIDINE|0,2 g;CHLORURE DE BENZALKONIUM|0,5 g;MERCRYL SOLUTION MOUSSANTE, solution pour application cutanée
1;ESCITALOPRAM|10 mg;ESCITALOPRAM KRKA 10 mg, comprimé pelliculé sécable
0;INSULATARD INNOLET 100 unités internationales/ml, suspension injectable en stylo prérempli
0;ALLOPURINOL BIOGARAN 300 mg, comprimé
0;BETAHISTINE TEVA 24 mg, comprimé
0;COCHLEARIA ARMORACIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ABILIFY 10 mg, comprimé
0;RAMIPRIL / HYDROCHLOROTHIAZIDE ZENTIVA 5 mg/12.5 mg, comprimé
1;BRIMONIDINE|1,3 mg;BRIMONIDINE CHAUVIN 2 mg/ml, collyre en solution
0;PREGABALINE SANDOZ GMBH 100 mg, gélule
1;ROPINIROLE|5 mg;ROPINIROLE SANDOZ 5 mg, comprimé pelliculé
0;TRAMADOL ARROW 100 mg/2 mL, solution injectable/pour perfusion
1;FLUVASTATINE|20 mg;LESCOL 20 mg, gélule
0;AMINOPHYLLINE RENAUDIN 250 mg/10 ml, solution pour perfusion
0;CHLORURE DE SODIUM 0,9 % VIAFLO, solution pour perfusion
0;INTELENCE 200 mg, comprimé
0;CONVULINE 0,03 mg/3 mg, comprimé pelliculé
0;OLANZAPINE EG 7,5 mg, comprimé pelliculé
1;MÉROPÉNEM ANHYDRE|500 mg;KIRAVEM 500 mg, poudre pour solution injectable ou pour perfusion
0;HBVAXPRO 40 microgrammes, suspension injectable. Vaccin de l'hépatite B (ADNr)
1;RUXOLITINIB|10 mg;JAKAVI 10 mg, comprimé
1;CÉFOXITINE|2 g;CEFOXITINE GERDA 2 g, poudre pour solution injectable
0;CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée
0;MANIDIPINE BIOGARAN 10 mg, comprimé
0;BEMFOLA 150 UI/0,25 ml, solution injectable en stylo prérempli
0;PREGABALINE ZENTIVA K.S. 25 mg, gélule
0;PROGESTERONE RETARD PHARLON 500 mg/2 ml, solution injectable IM en ampoule
0;OCTAGAM 50 mg/ml, solution pour perfusion
1;TERBINAFINE|250 mg;TERBINAFINE EVOLUGEN 250 mg, comprimé sécable
0;DOMPERIDONE ARROW 10 mg, comprimé orodispersible
0;VICKS EXPECTORANT AMBROXOL 0,6 %, solution buvable
0;RISPERIDONE ALTER 4 mg, comprimé pelliculé
0;PARGINE 5 g, solution buvable en ampoules
0;ACTOSOLV 100 000 UI, poudre pour solution injectable/pour perfusion
0;UN-ALFA 0,10 microgramme, solution buvable en gouttes
0;ANTIMONIUM CRUDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;MONTÉLUKAST|4 mg;MONTELUKAST ZENTIVA LAB 4 mg, granulés
0;TEMOZOLOMIDE MYLAN 140 mg, gélule
0;MONAZOL, ovule
0;ECONAZOLE EG 1 %, émulsion pour application cutanée
0;VIALEBEX 200 mg/ml NOUVEAUX-NES ET NOURRISSONS, solution pour perfusion
1;CÉFÉPIME|2,000 g;AXEPIM 2 g, poudre pour solution injectable
0;VALSARTAN BIOGARAN 160 mg, comprimé pelliculé sécable
0;TOPIRAMATE BLUEFISH 100 mg, comprimé pelliculé
0;TOPOTECAN HOSPIRA 4 mg/4ml, solution à diluer pour perfusion
0;BEFIZAL 200 mg, comprimé pelliculé
0;VALPROATE DE SODIUM ZENTIVA 500 mg, comprimé gastro-résistant
0;PROINULINE SERB 25 %, solution injectable (I.V.)
0;HYOSCYAMUS NIGER BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;SOVALDI 400 mg, comprimé pelliculé
0;ROXITHROMYCINE SANDOZ 150 mg, comprimé pelliculé sécable
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC TEVA CLASSICS 1 %, gel
1;DIGLUCONATE DE CHLORHEXIDINE|3 mg;DRILL SANS SUCRE SUREAU LITCHI, pastille édulcorée à l'isomalt et à l' acésulfame potassique
0;FINASTERIDE ARROW GENERIQUES 1 mg, comprimé pelliculé
0;FLECAINIDE ARROW 100 mg, comprimé sécable
1;LISINOPRIL ANHYDRE|5 mg;LISINOPRIL RPG 5 mg, comprimé sécable
0;ARANESP 150 microgrammes, solution injectable en seringue préremplie
0;A 313 50 000 U.I., capsule molle
0;FUCIDINE 250 mg, comprimé pelliculé
0;EUTHYRAL, comprimé sécable
0;ROXITHROMYCINE ZENTIVA 150 mg, comprimé pelliculé
0;LANSOPRAZOLE RANBAXY 15 mg, gélule gastro-résistante
0;VITALOGINK 40 mg, comprimé pelliculé
0;TENORDATE, gélule
0;SOTALOL RATIOPHARM 80 mg, comprimé sécable
1;CITALOPRAM BASE|20 mg;CITALOPRAM EVOLUGEN 20 mg, comprimé pelliculé sécable
0;TEMOZOLOMIDE MYLAN 250 mg, gélule
1;ATORVASTATINE|10 mg;ATORVASTATINE ACCORD 10 mg, comprimé pelliculé
1;ATORVASTATINE|40 mg;ATORVASTATINE RPG 40 mg, comprimé pelliculé
0;ARNICA COMPLEXE N°1, solution buvable en gouttes
1;IODE [123 I]|74 MBq/ml à la date et à l'heure de calibration;ADREVIEW [123I] 74 MBq/mL, solution injectable
0;AMBROXOL EG LABO CONSEIL 0,6 %, solution buvable
2;CLAVULANIQUE (ACIDE)|125,00 mg;AMOXICILLINE ANHYDRE|1000 mg;AMOXICILLINE/ACIDE CLAVULANIQUE BIOGARAN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
0;PEVARYL 1 POUR CENT, crème
1;SILDÉNAFIL|50 mg;SILDENAFIL CRISTERS 50 mg, comprimé pelliculé
0;MELOXICAM TEVA 15 mg, comprimé sécable
0;BISACODYL CRISTERS 5 mg, comprimé enrobé gastro-résistant
0;GLUCOR 50 mg, comprimé
0;DORMICALM, comprimé enrobé
0;CUPRUM METALLICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;VASTAREL 20 mg/ml, solution buvable, gouttes
2;CALCIUM ÉLÉMENT|500 mg;CHOLÉCALCIFÉROL|400 UI;CALCIUM VITAMINE D3 EG 500 mg/400 UI, comprimé à croquer ou à sucer
0;VORICONAZOLE ARROW 200 mg, poudre pour solution pour perfusion
0;RISPERIDONE RANBAXY 4 mg, comprimé pelliculé sécable
1;CÉFOTAXIME BASE|0,5 g;CEFOTAXIME MYLAN 500 mg, poudre pour solution injectable (IM-IV)
0;ALPRAZOLAM EG 0,25 mg, comprimé sécable
0;CARDIOLITE. Trousse pour la préparation du technétium-99m-sestamibi
0;AMYCOR 1 POUR CENT, solution pour application locale en flacon pulvérisateur
1;IBANDRONIQUE (ACIDE)|6 mg;BONDRONAT 6 mg, solution à diluer pour perfusion
0;GABAPENTINE TEVA 100 mg, gélule
0;LATANOPROST TEVA 0,005 %, collyre en solution
0;CHOLECALCIFEROL MYLAN 100 000 UI, solution buvable en ampoule
0;LAMOTRIGINE ARROW 50 mg, comprimé dispersible
0;VIRAFERONPEG 120 microgrammes, poudre et solvant pour solution injectable en stylo prérempli
0;IMOVANE 3,75 mg, comprimé pelliculé
0;LEVETIRACETAM KRKA 250 mg, comprimé pelliculé
0;TRAMADOL/PARACETAMOL SANDOZ 37,5 mg/325 mg, comprimé pelliculé
1;ÉLÉTRIPTAN|40 mg;ELETRIPTAN PFIZER 40 mg, comprimé pelliculé
0;SANTANE N9, mélange de plantes pour tisane en vrac
0;GURONSAN, comprimé effervescent
0;ACICLOVIR SANDOZ CONSEIL 5 %, crème
1;RABÉPRAZOLE BASE|18,85 mg;RABEPRAZOLE KRKA 20 mg, comprimé gastro-résistant
0;EPLERENONE MYLAN 25 mg, comprimé pelliculé
0;HERPESEDERMYL 5 %, crème
0;LEVOTHYROX 75 microgrammes, comprimé sécable
1;IRINOTÉCAN|17,33 mg;IRINOTECAN HOSPIRA 20 mg/ml, solution à diluer pour perfusion
0;SIMVASTATINE BLUEFISH PHARMACEUTICAL AB 20 mg, comprimé pelliculé
0;ARANESP 500 microgrammes, solution injectable en stylo prérempli
0;REPAGLINIDE EVOLUGEN 2 mg, comprimé
0;BIOCALYPTOL 6,55 mg/5 ml SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide
1;BISULFATE DE QUININE ANHYDRE|40 mg;QUININE VITAMINE C GRAND, comprimé enrobé
0;OXYCONTIN LP 20 mg, comprimé pelliculé à libération prolongée
0;TERCIAN 40 mg/ml, solution buvable en gouttes
0;PACLITAXEL KABI 6 mg/ml, solution à diluer pour perfusion
1;BENSÉRAZIDE BASE|25,00 mg;MODOPAR 125 (100 mg/25 mg), gélule
0;ATARAX, sirop
1;AMLODIPINE|10 mg;AMLODIPINE ARROW GENERIQUES 10 mg, gélule
0;INONGAN, crème
0;FENOFIBRATE RPG 160 mg, comprimé pelliculé
0;MALARONE 62,5 mg/25 mg ENFANTS, comprimé pelliculé
0;GLIMEPIRIDE EVOLUGEN 1 mg, comprimé
1;GLUCOSE ANHYDRE|50 g;GLUCOSE 50 % MACOPHARMA, solution pour perfusion
0;RISPERIDONE ZYDUS 4 mg, comprimé pelliculé sécable
0;PEGASYS 90 microgrammes, solution injectable en seringue préremplie
0;CORICIDE LE DIABLE 12,5 g/100 g, solution pour application locale
0;TELMISARTAN MYLAN 40 mg, comprimé
0;BISOPROLOL RPG 10 mg, comprimé pelliculé
0;TRAVOPROST EG 40 microgrammes/mL, collyre en solution
0;DROSPIRENONE/ETHINYLESTRADIOL MYLAN PHARMA CONTINU 3 mg/0,02 mg, comprimé pelliculé
0;FERTISTARTKIT 75 UI, poudre et solvant pour solution injectable
0;HUMIRA 40 mg, solution injectable en stylo prérempli (0,8 ml)
0;SIMVASTATINE MYLAN 20 mg, comprimé pelliculé sécable
1;IODE|30 g;IOPAMIRON 300 (300 mg d'Iode par mL), solution injectable
0;SYNEDIL 0,5 g/100 ml, solution buvable
0;MABTHERA 1400 mg, solution pour injection sous-cutanée
0;ARKOGELULES ESCHSCHOLTZIA, gélule
0;AVENA SATIVA TEINTURE MERE WELEDA, solution buvable en gouttes
1;CALCIUM ÉLÉMENT|1,54 g;CALCIDIA 1,54 g, granulé pour suspension buvable en sachet-dose
0;PARACETAMOL MACOPHARMA 10 mg/ml, solution pour perfusion
0;PEPSANE, capsule
0;PARAMINAN 500 mg, comprimé enrobé
2;VILANTÉROL|22 microgrammes;UMÉCLIDINIUM|55 microgrammes;TRELEGY ELLIPTA 92 microgrammes/55 microgrammes/22 microgrammes, poudre pour inhalation en récipient unidose
0;LEVOCETIRIZINE EG 5 mg, comprimé pelliculé
0;AGAVE AMERICANA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
0;RISPERIDONE MYLAN 1 mg, comprimé orodispersible
0;KAYEXALATE, poudre pour suspension orale et rectale
0;RILUZOLE EG 50 mg, comprimé pelliculé
0;SANTANE O1, mélange de plantes pour tisane en vrac
0;TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 40 mg/12,5 mg, comprimé
0;BERINERT 500 UI, poudre et solvant pour solution injectable/perfusion
1;GALANTAMINE|4 mg;REMINYL 4 mg/ml, solution buvable
1;RABÉPRAZOLE BASE|18,85 mg;RABEPRAZOLE ZYDUS 20 mg, comprimé gastro-résistant
1;FUROATE DE MOMÉTASONE|50 microgrammes;MOMETASONE SANDOZ 50 microgrammes/dose, suspension pour pulvérisation nasale
0;CAPTOPRIL ARROW 50 mg, comprimé sécable
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant
1;PRAZOSINE BASE|5,00 mg;ALPRESS L.P. 5 mg, comprimé osmotique à libération prolongée
0;IBUPROFENE ARROW 400 mg, comprimé pelliculé
0;PAPAVERINE RENAUDIN 40 mg/ml, solution injectable
0;FUNGIZONE NOURRISSONS ET ENFANTS 10 POUR CENT, suspension buvable
1;RABÉPRAZOLE BASE|9,42 mg;RABEPRAZOLE ZENTIVA 10 mg, comprimé gastro-résistant
1;AMBROXOL BASE|0,273 g;AMBROXOL TEVA CONSEIL 0,3 %, solution buvable
0;DEXPANTHENOL CRISTERS 5 %, pommade
0;ARIPIPRAZOLE ACCORD 15 mg, comprimé
0;NUROFEN RHUME, comprimé pelliculé
0;ZOMACTON 10 mg/ml, poudre et solvant pour solution injectable
1;MONTÉLUKAST|5 mg;MONTELUKAST CRISTERS 5 mg, comprimé à croquer
0;CAPTOPRIL BIOGARAN 50 mg, comprimé sécable
0;HUMEX 5 % ADULTES EXPECTORANT SANS SUCRE, solution buvable édulcorée à la saccharine sodique
0;SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER ADULTES, suppositoire
0;PIROXICAM PFIZER 20 mg/1 ml, solution injectable en ampoule (IM)
0;FENTANYL EG 50 µg/h, dispositif transdermique
1;ROSUVASTATINE|10 mg;ROSUVASTATINE KRKA 10 mg, comprimé pelliculé
0;ACICLOVIR TEVA 200 mg, comprimé
0;KENDIX 5 POUR CENT, crème
1;FOSFOMYCINE|4 g;FOSFOMYCINE PANPHARMA 4 g, poudre pour solution injectable
0;EZETIMIBE CRISTERS 10 mg, comprimé
0;DELTAZINE 40 mg/ml, solution injectable à usage dentaire
0;PARKINANE LP 2 mg, gélule à libération prolongée
1;ONDANSÉTRON|8 mg;ONDANSETRON EG 8 mg, comprimé pelliculé
0;VIPERFAV, solution à diluer pour perfusion
1;ATORVASTATINE|10 mg;TAHOR 10 mg, comprimé à croquer
0;IBUPROFENE ZYDUS FRANCE 200 mg, comprimé pelliculé
1;ONDANSÉTRON|2 mg;ZOPHREN 2 mg/ml, solution injectable en ampoule (I.V.)
0;TRILEPTAL 300 mg, comprimé pelliculé
0;DULCOLAX 5 mg, comprimé enrobé gastro-résistant
1;ESCITALOPRAM|20 mg;ESCITALOPRAM EVOLUGEN 20 mg, comprimé pelliculé sécable
0;METHOTREXATE TEVA 10 POUR CENT (5 g/50 mL), solution injectable
0;SMECTALIA 3 g, poudre pour suspension buvable en sachet
1;GALANTAMINE|8 mg;REMINYL L.P. 8 mg, gélule à libération prolongée
1;ACIDE ACÉTYLSALICYLIQUE|300 mg;KARDEGIC 300 mg, poudre pour solution buvable en sachet
0;MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP, comprimé enrobé
1;ÉRYTHROMYCINE BASE|250 mg;EGERY, microgranules gastro-résistants en gélule
0;ACIDE FOLIQUE CCD 5 mg, comprimé
0;GALANTAMINE EG LP 8 mg, gélule à libération prolongée
0;GALIUM APARINE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ELUSANES ARTICHAUT, gélule
0;CLARIX EXPECTORANT CARBOCISTEINE 750 mg/10 ml ADULTES SANS SUCRE, solution buvable en sachet édulcorée à la saccharine sodique, au sorbitol et au maltitol liquide
0;MOBIC 15 mg/1,5 ml, solution injectable
1;LISINOPRIL ANHYDRE|5 mg;PRINIVIL 5 mg, comprimé
0;TILCOTIL 20 mg, comprimé pelliculé sécable
0;EPLERENONE SANDOZ 50 mg, comprimé pelliculé
0;BETAFACT 100 UI/ml, poudre et solvant pour solution injectable
0;PARKINANE L P 5 mg, gélule à libération prolongée
0;ATROPINE ALCON 1 POUR CENT, collyre
1;PENTOXYVÉRINE|0,16 g;CODOTUSSYL TOUX SECHE PENTOXYVERINE 3,2 mg/ml, sirop
0;EXEMESTANE PFIZER 25 mg, comprimé enrobé
0;FORTRANS, poudre pour solution buvable en sachet
0;OMEPRAZOLE ALMUS 20 mg, gélule gastro-résistante
0;OXYGENE MEDICINAL LIQUIDE SOL FRANCE, gaz pour inhalation pour évaporateur fixe
0;MAGNESIUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;DEXAMÉTHASONE (PHOSPHATE DE)|100 mg;CHIBRO CADRON, collyre en flacon
0;ANAFRANIL 10 mg, comprimé enrobé
0;SPIRAMYCINE MYLAN 3 M.U.I, comprimé pelliculé
0;DYNEXANGIVAL 1%, crème buccale
0;CARVEDILOL ZENTIVA 6,25 mg, comprimé pelliculé sécable
0;PANADOL 500 mg, comprimé pelliculé sécable
1;CHLORURE DE BENZALKONIUM|18,9 mg;PHARMATEX 18,9 mg, ovule
1;DABRAFÉNIB|75 mg;TAFINLAR 75 mg, gélule
0;BISMUTHUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
1;VENLAFAXINE|37,5 mg;VENLAFAXINE ARROW LP 37,5 mg, gélule à libération prolongée
1;RIVASTIGMINE|6 mg;RIVASTIGMINE BIOGARAN 6 mg, gélule
1;ONDANSÉTRON|8 mg;ONDANSETRON CRISTERS 8 mg, comprimé pelliculé
0;EAU POUR PREPARATIONS INJECTABLES AGUETTANT, solution pour préparation injectable en ampoule polyéthylène
1;CIPROFLOXACINE|200 mg;CIPROFLOXACINE MACOPHARMA 200 mg/100 ml, solution pour perfusion
1;SILDÉNAFIL|100 mg;VIAGRA 100 mg, comprimé pelliculé
0;SCANDONEST 20 mg/mL ADRENALINEE au 1/100 000, solution injectable à usage dentaire
1;LISINOPRIL ANHYDRE|20 mg;ZESTORETIC 20 mg/12,5 mg, comprimé sécable
0;CETIRIZINE BIOGARAN 10 mg, comprimé pelliculé sécable
0;LOXAPAC, solution buvable
0;DIVINA, comprimé
0;DILTIAZEM ZENTIVA L.P. 120 mg, gélule à libération prolongée
1;LYSINE|3,19 g;AMINOPLASMAL 12, solution pour perfusion
0;TISANE MEDIFLOR N°5 HEPATIQUE, plantes pour tisane en sachet-dose
0;RIVASTIGMINE TEVA 9,5 mg/24 h, dispositif transdermique
0;DOPERGINE 0,2 mg, comprimé sécable
0;CURACNE 5 mg, capsule molle
0;MOLSIDOMINE ARROW 2 mg, comprimé sécable
1;MÉTHOTREXATE|25 mg;IMETH 17,5 mg/0,7 ml, solution injectable en seringue préremplie
0;CONIUM MACULATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;DIOSMINE SANDOZ CONSEIL 300 mg, comprimé pelliculé
0;SPRYCEL 50 mg, comprimé pelliculé
0;CAPSICUM ANNUUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;PIROXICAM PFIZER 10 mg, gélule
1;PÉRINDOPRIL|1,6975 mg;COVERSYL 2,5 mg, comprimé pelliculé
1;GLUCOSE ANHYDRE|5 g;GLUCOSE 50 % RENAUDIN, solution injectable
1;GLUCOSAMINE|625 mg;FLEXEA 625 mg, comprimé
0;SAIZEN 8 mg/ml, solution injectable
0;DILTIAZEM WINTHROP L.P. 120 mg, comprimé enrobé à libération prolongée
0;PREGABALINE SANDOZ 25 mg, gélule
1;PÉRINDOPRIL|3,338 mg;PERINDOPRIL KRKA 4 mg, comprimé sécable
1;NORADRÉNALINE|1 mg;NORADRENALINE HOSPIRA 2 mg/ml SANS SULFITES, solution à diluer pour perfusion
0;MEGACE 160 mg, comprimé
0;HEXASPRAY, collutoire en flacon pressurisé
1;AMOXICILLINE ANHYDRE|250 mg;AMOXICILLINE EG 250 mg/5 ml, poudre pour suspension buvable
0;DILTIAZEM BIOGARAN 60 mg, comprimé
0;NICORETTESPRAY 1 mg/dose, solution pour pulvérisation buccale
0;UTROGESTAN 200 mg, capsule molle orale ou vaginale
0;THIOCOLCHICOSIDE SANDOZ 4 mg, comprimé
0;LANSOPRAZOLE ALMUS 15 mg, gélule gastro-résistante
0;MINOXIDIL MYLAN 5 %, solution pour application cutanée
0;ENALAPRIL RPG 5 mg, comprimé sécable
0;EURAX 10 POUR CENT, crème
1;METFORMINE BASE|390 mg;METFORMINE CRISTERS 500 mg, comprimé pelliculé
0;ARNIGEL, gel
1;MÉMANTINE|16,62 mg;MEMANTINE MYLAN 20 mg, comprimé pelliculé
1;TICARCILLINE BASE|5 g;TICARPEN 5 g, poudre pour solution injectable (I.V.)
0;FENOFIBRATE ARROW GENERIQUES 67 mg, gélule
1;CARBIDOPA ANHYDRE|5 mg;DUODOPA 20 mg/ml + 5 mg/ml, gel intestinal
1;ROPINIROLE|0,5 mg;ROPINIROLE ARROW GENERIQUES 0,50 mg, comprimé pelliculé
0;CARTEOL L.P. 1 %, collyre à libération prolongée
0;PROGRAF 1 mg, gélule
0;MOTILIUM 10 mg, comprimé pelliculé
0;NERISONE, pommade
0;OESTRODOSE 0,06 POUR CENT, gel pour application cutanée en flacon avec pompe doseuse
0;SIMVASTATINE ISOMED 20 mg, comprimé pelliculé sécable
0;VALSARTAN ALTER 80 mg, comprimé pelliculé
0;PRAVASTATINE CRISTERS PHARMA 10 mg, comprimé
1;GLUCOSE ANHYDRE|30 g;GLUCOSE 30 % LAVOISIER, solution pour perfusion en flacon
0;GLICLAZIDE KRKA 60 mg, comprimé à libération modifiée
0;FLUCONAZOLE SANDOZ 50 mg, gélule
1;FLUOXÉTINE BASE|20 mg;FLUOXETINE CRISTERS 20 mg, gélule
0;PARACETAMOL SANDOZ 500 mg, comprimé
1;ALISKIRÈNE|150 mg;RASILEZ HCT 150 mg/12,5 mg, comprimé pelliculé
0;FIBROGAMMIN 62,5 Ul/ml, poudre et solvant pour solution injectable/perfusion
1;AMOXICILLINE ANHYDRE|125 mg;AMOXICILLINE EG LABO 125 mg/5 ml, poudre pour suspension buvable
0;MONOFLOCET 200 mg, comprimé pelliculé
0;AGNUS CASTUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;APROVEL 75 mg, comprimé pelliculé
0;TRANSIPEGLIB 5,9 g, poudre pour solution buvable en sachet
1;PAROXÉTINE BASE|20 mg;PAROXETINE RATIOPHARM 20 mg, comprimé pelliculé sécable
1;BUPRÉNORPHINE|4,00 mg;BUPRENORPHINE MYLAN 4 mg, comprimé sublingual
0;MACROGOL 4000 SANDOZ 10 g, poudre pour solution buvable en sachet
0;PACLITAXEL HOSPIRA 6 mg/ml, solution à diluer pour perfusion
0;FLUORURE DE CALCIUM CRINEX 0,25 mg, comprimé
0;UROREC 4 mg, gélule
0;GCFORM, comprimé effervescent
0;GONAL-F 1050 UI/1,75 ml (77 microgrammes/1,75 ml), poudre et solvant pour solution injectable
0;KETEK 400 mg, comprimé pelliculé
1;ALISKIRÈNE|300 mg;RASILEZ HCT 300 mg/12,5 mg, comprimé pelliculé
0;MENINGITEC, suspension injectable en seringue préremplie. Vaccin méningococcique du sérogroupe C oligosidique conjugué (adsorbé)
0;EZETIMIBE/SIMVASTATINE TEVA 10 mg/20 mg, comprimé
0;AERIUS 0,5 mg/ml, solution buvable
0;HBVAXPRO 5 microgrammes, suspension injectable en seringue préremplie. Vaccin de l'hépatite B (ADNr)
0;COLOFOAM, mousse rectale
0;AMISULPRIDE CRISTERS 200 mg, comprimé sécable
0;NIVESTIM 30 MU/0,5 ml, solution injectable/pour perfusion
1;CHLORHYDRATE DE THIAMINE ANHYDRE|100 mg;BEVITINE 100 mg/2 ml, solution injectable en ampoule
0;ARGENTUM NITRICUM FERRIER, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;VITAMINE C 10 % AGUETTANT, solution injectable pour perfusion
1;SERTRALINE BASE|50 mg;ZOLOFT 50 mg, gélule
0;RISPERDALORO 1 mg, comprimé orodispersible
0;VIRLIX 10 mg, comprimé pelliculé sécable
1;SERTRALINE BASE|50 mg;SERTRALINE MYLAN 50 mg, gélule
0;SURGESTONE 0,500 mg, comprimé
0;IMPORTAL JEUNES ENFANTS 2,5 g, poudre orale en sachet
0;CELSENTRI 25 mg, comprimé pelliculé
0;DIACEREINE ZENTIVA 50 mg, gélule
0;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN 100 mg/25 mg, comprimé pelliculé
0;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée
1;BÉTAMÉTHASONE|4,00 mg;CELESTENE 4 mg/1 ml, solution injectable
0;ACONITUM NAPELLUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;FLUCONAZOLE EVOLUGEN 100 mg, gélule
1;ACIDE ZOLÉDRONIQUE ANHYDRE|4 mg;ACIDE ZOLEDRONIQUE BIOGARAN 4 mg/100 ml, solution pour perfusion
0;ONDANSETRON MYLAN 8 mg, comprimé orodispersible
0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM SANDOZ CONSEIL 500 mg/267 mg MENTHE SANS SUCRE, suspension buvable en sachet édulcorée à la saccharine sodique
1;RALTÉGRAVIR|25 mg;ISENTRESS 25 mg, comprimé à croquer
1;AMPICILLINE ANHYDRE|500 mg;AMPICILLINE PANPHARMA 500 mg, gélule
0;COQUELUSEDAL PARACETAMOL 250 mg, suppositoire
1;PANTOPRAZOLE|20 mg;PANTOPRAZOLE MYLAN 20 mg, comprimé gastro-résistant
0;GLICLAZIDE ARROW LAB 30 mg, comprimé à libération modifiée
1;CÉFAZOLINE BASE|2 g;CEFAZOLINE MYLAN 2 g, poudre pour solution injectable (IM-IV)
0;PROLEUKIN 18 millions U.I., poudre pour solution pour perfusion
0;ETORICOXIB MYLAN 30 mg, comprimé pelliculé
0;TARAXACUM DENS LEONIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;CARBOPLATINE SUN 10 mg/ml, solution à diluer pour perfusion
1;FEXOFÉNADINE BASE|112 mg;FEXOFENADINE MYLAN 120 mg, comprimé pelliculé
1;VARDÉNAFIL|5 mg;LEVITRA 5 mg, comprimé pelliculé
1;DEXKÉTOPROFÈNE|12,50 mg;KETESSE 12,5 mg, comprimé pelliculé
0;ARKOGELULES MATE, gélule
0;BISOPROLOL SANDOZ 2,5 mg, comprimé pelliculé sécable
0;ENALAPRIL/HYDROCHLOROTHIAZIDE CRISTERS 20 mg/12,5 mg, comprimé sécable
0;BISOPROLOL RANBAXY 3,75 mg, comprimé
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC ZENTIVA 1 %, gel en flacon pressurisé
0;MIDAZOLAM AGUETTANT 5 mg/ml, solution injectable
0;PULMICORT 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
1;OCTRÉOTIDE|500 microgrammes;OCTREOTIDE HOSPIRA 500 microgrammes/1 ml, solution injectable
0;ONCOVIN 1 mg, solution injectable
0;LERCAN 20 mg, comprimé pelliculé
0;EUCALYPTUS GLOBULUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;DULOXÉTINE|60 mg;DULOXETINE TEVA SANTE 60 mg, gélule gastro-résistante
0;ZOPHREN 8 mg, lyophilisat oral
0;NPLATE 250 microgrammes, poudre et solvant pour solution injectable
1;CODÉINE|14,93 mg;NEO-CODION, comprimé enrobé
1;MONTÉLUKAST|10 mg;SINGULAIR 10 mg, comprimé pelliculé
0;LEELOO 0,1 mg/0,02 mg, comprimé enrobé
2;CLAVULANIQUE (ACIDE)|100 mg;AMOXICILLINE ANHYDRE|1 g;AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 1 g/100 mg, enfants, poudre pour solution injectable (I.V.)
0;RABEPRAZOLE TEVA 20 mg, comprimé gastro-résistant
0;INDAPAMIDE TEVA LP 1,5 mg, comprimé pelliculé à libération prolongée
