solution pour perfusion;1;EPTIFIBATIDE;EPTIFIBATIDE ACCORD 0,75 mg/ml, solution pour perfusion
granulés;3;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES;ORIGANUM MAJORANA POUR PRÉPARATIONS HOMÉOPATHIQUES;CRATAEGUS OXYACANTHA POUR PRÉPARATIONS HOMÉOPATHIQUES;BORIPHARM N°41, granules
comprimé pelliculé à libération prolongée;1;NIFÉDIPINE;NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée
comprimé à croquer ou à sucer;2;CARBONATE DE CALCIUM;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;FIXICAL VITAMINE D3 500 mg/400 UI, comprimé à croquer ou à sucer
comprimé;1;ACÉTYLLEUCINE;ACETYLLEUCINE MYLAN 500 mg, comprimé
comprimé pelliculé;1;ACIDE TRANEXAMIQUE;EXACYL 500 mg, comprimé pelliculé
comprimé;1;ACICLOVIR;ACICLOVIR TEVA 200 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;1;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;BARYTA CARBONICA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
solution pour perfusion;1;CHLORHYDRATE DE ROPIVACAÏNE;ROPIVACAINE MYLAN 2 mg/ml, solution pour perfusion en poche
comprimé;1;PARACÉTAMOL;PARACETAMOL ZYDUS 1 g, comprimé
comprimé pelliculé;1;OXCARBAZÉPINE;TRILEPTAL 300 mg, comprimé pelliculé
solution buvable gouttes;1;DIHYDROERGOTAMINE (MÉSILATE DE);IKARAN, solution buvable en gouttes
comprimé pelliculé;2;PÉRINDOPRIL ARGININE;FUMARATE DE BISOPROLOL;COSIMPREL 10 mg/10 mg, comprimé pelliculé
pommade;2;ACIDE SALICYLIQUE;DIPROPIONATE DE BÉTAMÉTHASONE;DIPROSALIC, pommade
comprimé enrobé;2;GESTODÈNE;ÉTHINYLESTRADIOL;GESTODENE/ETHINYLESTRADIOL ZENTIVA 75 microgrammes/20 microgrammes, comprimé enrobé
comprimé sécable;1;RAMIPRIL;RAMIPRIL EVOLUGEN 5 mg, comprimé sécable
gélule;1;CHLORHYDRATE DE FLUOXÉTINE;FLUOXETINE EG 20 mg, gélule
gélule;1;STIRIPENTOL;DIACOMIT 500 mg, gélule
comprimé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;MONOALGIC L.P. 200 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)
ovule à libération prolongée;1;NITRATE D'ÉCONAZOLE;ECONAZOLE SANDOZ L.P. 150 mg, ovule à libération prolongée
comprimé sécable;1;CHLORHYDRATE DE SOTALOL;SOTALOL ALMUS 80 mg, comprimé sécable
comprimé à croquer ou dispersible;1;DIDANOSINE;VIDEX 25 mg, comprimé à croquer ou dispersible
comprimé pelliculé;1;FÉNOFIBRATE;FENOFIBRATE MYLAN 160 mg, comprimé pelliculé
comprimé pelliculé;1;FUMARATE DE BISOPROLOL;BISOPROLOL EG 3,75 mg, comprimé pelliculé
solution injectable;2;FOLLITROPINE ALFA ;LUTROPINE ALFA ;PERGOVERIS (300 UI + 150 UI)/0,48 mL, solution injectable en stylo prérempli
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE MYLAN PHARMA 5 mg/6,25 mg, comprimé pelliculé
poudre pour suspension buvable;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS FRANCE 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)
comprimé pelliculé;1;CHLORHYDRATE DE PITOLISANT;WAKIX 4,5 mg, comprimé pelliculé
gélule;1;TÉMOZOLOMIDE;TEMOZOLOMIDE MYLAN 180 mg, gélule
comprimé sécable;1;MINOXIDIL;LONOTEN 10 mg, comprimé sécable
émulsion pour application;1;MÉTRONIDAZOLE;ROZEX 0,75 %, émulsion pour application cutanée
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;ALGINATE DE SODIUM / BICARBONATE DE SODIUM MYLAN CONSEIL 500 mg/267 mg MENTHE SANS SUCRE, suspension buvable en sachet édulcorée à la saccharine sodique sodique
 comprimé et solution(s) et granules et poudre et pommade;1;HELLEBORUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;HELLEBORUS NIGER BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé pelliculé;2;PÉRINDOPRIL ARGININE;INDAPAMIDE;BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé
collyre en suspension;1;BRINZOLAMIDE;BRINZOLAMIDE MYLAN 10 mg/ml, collyre en suspension
comprimé sécable;1;ACÉTATE DE NOMÉGESTROL;LUTENYL, comprimé sécable
comprimé pelliculé;2;GLIBENCLAMIDE;CHLORHYDRATE DE METFORMINE;GLUCOVANCE 1000 mg/5 mg, comprimé pelliculé
solution buvable;3;ARGENT (GLUCONATE D');CUIVRE (GLUCONATE DE);OR COLLOÏDAL;CUIVRE-OR-ARGENT OLIGOSOL, solution buvable en flacon
solution injectable;1;ADALIMUMAB ;HUMIRA 20 mg, solution injectable en seringue préremplie
capsule molle;1;TRIGLYCÉRIDES D'ACIDES OMÉGA-3 ;YSOMEGA 1 g, capsule molle
comprimé pelliculé;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE RANBAXY 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
comprimé enrobé;1;OLANZAPINE;OLANZAPINE ARROW GENERIQUES 10 mg, comprimé enrobé
solution pour perfusion;7;ACÉTATE DE SODIUM TRIHYDRATÉ;CHLORURE DE SODIUM;CHLORURE DE POTASSIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;HYDROXYÉTHYLAMIDON 130/0,4;ACIDE MALIQUE;CHLORURE DE CALCIUM DIHYDRATÉ;ISOVOL 6 %, solution pour perfusion
suspension pour inhalation;2;FUMARATE DE FORMOTÉROL DIHYDRATÉ;BUDÉSONIDE;SYMBICORT RAPIHALER 200/6 microgrammes par dose, suspension pour inhalation en flacon pressurisé
solution à diluer pour perfusion;1;CHLORURE DE POTASSIUM;CHLORURE DE POTASSIUM LAVOISIER 20 % (0,20 g/ml) , solution à diluer pour perfusion
comprimé effervescent(e);1;CIMÉTIDINE;CIMETIDINE MYLAN 200 mg,comprimé effervescent
 comprimé et solution(s) et granules et poudre et pommade;1;MURIATICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;MURIATICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL RANBAXY 4 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;OXALICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;OXALICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;ALANINE;ABUFENE 400 mg, comprimé
comprimé;1;MANIDIPINE (DICHLORHYDRATE DE);MANIDIPINE MYLAN 20 mg, comprimé
granules et  poudre et  solution en gouttes en gouttes;1;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;KALIUM PHOSPHORICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution à diluer pour perfusion;1;CHLORHYDRATE DE DOBUTAMINE;DOBUTAMINE PANPHARMA 250 mg/20 ml, solution à diluer pour perfusion
comprimé pelliculé;1;HYDROGÉNOSULFATE DE CLOPIDOGREL;PLAVIX 300 mg, comprimé pelliculé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE ISOMED 15 mg, gélule gastro-résistante
comprimé enrobé;1;IMIPRAMINE (CHLORHYDRATE D');TOFRANIL 10 mg, comprimé enrobé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;VOLTARENSPE 1%, gel
gel;1;FLUORURE DE SODIUM;FLUOCAL 11,9 mg/g, gel dentaire
comprimé pelliculé;2;OLMÉSARTAN MÉDOXOMIL;BÉSILATE D'AMLODIPINE;SEVIKAR 40 mg/10 mg, comprimé pelliculé
comprimé pelliculé sécable;1;RISPÉRIDONE;RISPERIDONE RANBAXY 1 mg, comprimé pelliculé sécable
comprimé pelliculé;1;CÉFUROXIME AXÉTIL;CEFUROXIME TEVA 250 mg, comprimé pelliculé
poudre pour suspension buvable;3;MILIEU DE CULTURE;LACTOBACILLUS FERMENTUM;LACTOBACILLUS DELBRUECKII;LACTEOL 340 mg, poudre pour suspension buvable en sachet-dose
gélule à libération prolongée;2;ACÉTYLSALICYLIQUE (ACIDE);DIPYRIDAMOLE;ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée
poudre et  solvant pour suspension injectable;1;VIRUS DE LA RAGE, SOUCHE WISTAR RABIES PM/WI 38-1503-3M INACTIVÉ ;VACCIN RABIQUE INACTIVE MERIEUX, poudre et solvant pour suspension injectable. Vaccin rabique préparé sur cellules diploïdes humaines
comprimé;1;TELMISARTAN;TOLURA 40 mg, comprimé
sirop;1;LORATADINE;CLARITYNE 1 mg/ml, sirop
lotion;1;HYDROCORTISONE (BUTYRATE D');LOCOID, lotion
poudre pour solution buvable entéral(e);1;ORNITHINE (OXOGLURATE D');CETORNAN 5 g, poudre pour solution buvable et solution entérale en sachet
comprimé pelliculé sécable;1;CHLORHYDRATE DE MINOCYCLINE;MINOCYCLINE BIOGARAN 100 mg, comprimé pelliculé sécable
solution à diluer injectable pour perfusion;1;FOSPHÉNYTOÏNE SODIQUE HEPTAHYDRATÉ;PRODILANTIN 75 mg/ml, solution à diluer pour perfusion/solution injectable
 comprimé et solution(s) et granules et poudre et pommade;1;SYMPHYTUM OFFICINALE POUR PRÉPARATIONS HOMÉOPATHIQUES;SYMPHYTUM OFFICINALE BOIRON, degré de dilution compris entre 3CH à 30CH et 5DH à 60 DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN PHARMA 300 mg/12,5 mg, comprimé pelliculé
crème;2;ÉNOXOLONE;DODÉCLONIUM (BROMURE DE);IRRISEDERMYL, crème
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN/HYDROCHLOROTHIAZIDE RANBAXY 160 mg/25 mg, comprimé pelliculé
gélule;1;CÉLÉCOXIB;CELECOXIB SANDOZ 200 mg, gélule
comprimé pelliculé;1;EXÉMESTANE;EXEMESTANE TEVA 25 mg, comprimé pelliculé
suspension pour pulvérisation;1;DIPROPIONATE DE BÉCLOMÉTASONE;HUMEX RHUME DES FOINS A LA BECLOMETASONE 50 microgrammes/dose, suspension pour pulvérisation nasale en flacon
 comprimé et solution(s) et granules et poudre et pommade;1;SCROFULARIA NODOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SCROFULARIA NODOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;1;BARYTA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES;BARYTA MURIATICA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé sécable;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL ISOMED 4 mg, comprimé sécable
comprimé pelliculé;1;CHLORHYDRATE DE DONÉPÉZIL;DONEPEZIL EVOLUGEN 5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;NUX MOSCHATA POUR PRÉPARATIONS HOMÉOPATHIQUES;NUX MOSCHATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;ACÉTATE DE CYPROTÉRONE;ACETATE DE CYPROTERONE TEVA 50 mg, comprimé
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN RATIOPHARM 150 mg, comprimé pelliculé
comprimé;1;MANIDIPINE (DICHLORHYDRATE DE);MANIDIPINE ZENTIVA 20 mg, comprimé
gaz pour inhalation;1;OXYGÈNE;OXYGENE MEDICINAL B.T.G. 200 bar, gaz pour inhalation, en bouteille
comprimé pelliculé;1;CHLORHYDRATE DE VALACICLOVIR;VALACICLOVIR ALTER 500 mg, comprimé pelliculé
collyre à libération prolongée;1;CHLORHYDRATE DE CARTÉOLOL;CARTEOL LP 2 %, collyre à libération prolongée en récipient unidose
comprimé sécable;1;LÉVOTHYROXINE SODIQUE;LEVOTHYROXINE BIOGARAN 200 microgrammes, comprimé sécable
suppositoire;1;BILE DE BOEUF (EXTRAIT DE) (FLUIDE);RECTOPANBILINE ADULTES, suppositoire
comprimé pelliculé;1;LOSARTAN POTASSIQUE;LOSARTAN MYLAN 100 mg, comprimé pelliculé
comprimé pelliculé;1;MÉTHANESULFONATE DE SAFINAMIDE;XADAGO 50 mg, comprimé pelliculé
comprimé pelliculé;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM BIPHAR 5 mg, comprimé pelliculé
comprimé pelliculé à libération modifiée;1;CLARITHROMYCINE;MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
suppositoire;1;MORNIFLUMATE;NIFLURIL ADULTES 700 mg, suppositoire
comprimé pelliculé sécable;1;LÉVOFLOXACINE HÉMIHYDRATÉE;TAVANIC 500 mg, comprimé pelliculé sécable
poudre et  solvant pour solution injectable ou pour perfusion;1;FACTEUR XIII DE COAGULATION HUMAIN ;FIBROGAMMIN 62,5 Ul/ml, poudre et solvant pour solution injectable/perfusion
comprimé;1;LORATADINE;LORATADINE NEPENTHES 10 mg, comprimé
gélule;1;BLEU DE PRUSSE INSOLUBLE;RADIOGARDASE 500 mg, gélule
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ARROW LAB 75 mg, comprimé pelliculé
emplâtre médicamenteux(se);1;ÉPOLAMINE DE DICLOFÉNAC;FLECTORTISSUGELEP 1 %, emplâtre médicamenteux
comprimé enrobé à libération prolongée;1;BÉZAFIBRATE;BEFIZAL L.P. 400 mg, comprimé enrobé à libération prolongée
gélule;1;FLUCONAZOLE;FLUCONAZOLE PFIZER 200 mg, gélule
comprimé pelliculé;1;SUCCINATE DE SOLIFÉNACINE;VESICARE 5 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;ESOMEPRAZOLE ALTER 40 mg, comprimé gastro-résistant
granulés pour solution buvable;1;FOSFOMYCINE TROMÉTAMOL;URIDOZ 3 g, granulé pour solution buvable en sachet
comprimé enrobé;1;IBUPROFÈNE;IBUPROFENE MYLAN 200 mg, comprimé enrobé
comprimé;1;DIHYDROGÉNOPHOSPHATE DE RILMÉNIDINE;RILMENIDINE ACTAVIS 1 mg, comprimé
solution pour application;1;DIGLUCONATE DE CHLORHEXIDINE;SEPTEAL, solution pour application locale
solution buvable;3;HESPÉRIDINE MÉTHYLCHALCONE;EXTRAIT FLUIDE DE PETIT HOUX;ACIDE ASCORBIQUE;CYCLO 3 FORT, solution buvable en ampoules
comprimé orodispersible;1;OLANZAPINE;OLANZAPINE RANBAXY 5 mg, comprimé orodispersible
comprimé quadrisécable;1;BROMAZÉPAM;BROMAZEPAM EG 6 mg, comprimé quadrisécable
solution pour perfusion;1;BACLOFÈNE;BACLOFENE SUN 10 mg/20 ml, solution pour perfusion
comprimé pelliculé et  comprimé pelliculé pelliculé;2;GESTODÈNE;ÉTHINYLESTRADIOL;MINESSE 60 microgrammes/15 microgrammes, comprimé pelliculé
comprimé;1;TELMISARTAN;TOLURA 80 mg, comprimé
comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM ALMUS 10 mg, comprimé pelliculé sécable
comprimé pelliculé à libération prolongée;1;NIFÉDIPINE;NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé;1;CHLORHYDRATE DE MÉMANTINE;MEMANTINE ALMUS 20 mg, comprimé pelliculé
solution pour application;1;MINOXIDIL;MINOXIDIL BAILLEUL 5 %, solution pour application cutanée
comprimé pelliculé;1;FIDAXOMICINE;DIFICLIR 200 mg, comprimé pelliculé
éponge pour usage dentaire;1;MÉTRONIDAZOLE;METROCOL 4,5 mg, éponge pour usage dentaire
comprimé pelliculé;1;PÉRAMPANEL;FYCOMPA 10 mg, comprimé pelliculé
crème;1;TIOCONAZOLE;TROSYD, crème dermatologique
 comprimé et solution(s) et granules et poudre et pommade;1;CLEMATIS ERECTA POUR PRÉPARATIONS HOMÉOPATHIQUES;CLEMATIS ERECTA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour solution à diluer pour perfusion;1;INFLIXIMAB ;REMSIMA 100 mg, poudre pour solution à diluer pour solution pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;1;RHUS TOXICODENDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;RHUS TOXICODENDRON BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé enrobé;4;SÉNÉ (FEUILLE DE), EXTRAIT SEC TITRÉ DE;ANIS VERT (FRUIT D') (POUDRE DE);CASCARA (ÉCORCE DE) (EXTRAIT SEC DE);BOLDO (FEUILLE DE) (POUDRE DE);MUCINUM A L'EXTRAIT DE CASCARA, comprimé enrobé
 comprimé et solution(s) et granules et poudre et pommade;1;ANTIMONIUM TARTARICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ANTIMONIUM TARTARICUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé pelliculé;1;BÊTA-ESTRADIOL HÉMIHYDRATÉ;OROMONE 1 mg, comprimé pelliculé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANZOR 30 mg, gélule gastro-résistante
comprimé pelliculé sécable;1;CHLORHYDRATE DE MIANSÉRINE;MIANSERINE EG 30 mg, comprimé pelliculé sécable
solution buvable;1;CITRATE DE PENTOXYVÉRINE;TOCLASE TOUX SECHE SANS SUCRE 0,213 POUR CENT, solution buvable en flacon édulcorée au sorbitol et à la saccharine sodique
gélule;1;FLUVASTATINE SODIQUE;FLUVASTATINE SANDOZ 40 mg, gélule
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE SANDOZ LP 8 mg, comprimé pelliculé à libération prolongée
microgranule en comprimé;1;DOXYCYCLINE MONOHYDRATÉE;TOLEXINE 50 mg, microgranules en comprimé
ovule à libération prolongée;1;NITRATE D'ÉCONAZOLE;ECONAZOLE TEVA L.P. 150 mg, ovule à libération prolongée
comprimé pelliculé;1;PINAVÉRIUM (BROMURE DE);DICETEL 50 mg, comprimé pelliculé
sirop;3;SERPOLET (TEINTURE DE);BENZOATE DE SODIUM;CODÉINE;DINACODE ADULTES, sirop
comprimé dispersible;1;ÉVÉROLIMUS;VOTUBIA 2 mg, comprimé dispersible
comprimé pelliculé sécable;1;CHLORHYDRATE DE QUINAPRIL;QUINAPRIL BIOGARAN 20 mg, comprimé pelliculé sécable
comprimé dispersible sécable;1;CHLORHYDRATE DE FLUOXÉTINE;FLUOXETINE TEVA 20 mg, comprimé dispersible sécable
comprimé;1;CHLORHYDRATE DE DILTIAZEM;DILTIAZEM CRISTERS 60 mg, comprimé
comprimé à croquer;1;MONTÉLUKAST SODIQUE;SINGULAIR 4 mg, comprimé à croquer
comprimé enrobé;1;IBUPROFÈNE;IBUPROFENE RATIOPHARM CONSEIL 200 mg, comprimé enrobé
 comprimé et solution(s) et granules et poudre et pommade;1;MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES;MAGNESIA MURIATICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
vernis à ongles médicamenteux(se);1;CHLORHYDRATE D'AMOROLFINE;AMOROLFINE ISOMED 5%, vernis à ongles médicamenteux
comprimé pelliculé;1;RISÉDRONATE MONOSODIQUE HÉMIPENTAHYDRATÉ;RISEDRONATE ARROW 35 mg, comprimé pelliculé
comprimé pelliculé;1;RIVAROXABAN;XARELTO 15 mg, comprimé pelliculé
comprimé sécable;1;LÉVOTHYROXINE SODIQUE;LEVOTHYROXINE BIOGARAN 175 microgrammes, comprimé sécable
comprimé pelliculé sécable;1;CHLORHYDRATE DE CÉLIPROLOL;CELIPROLOL RATIOPHARM 200 mg, comprimé pelliculé sécable
poudre pour solution injectable;1;IFOSFAMIDE;HOLOXAN 1000 mg, poudre pour solution injectable
comprimé pelliculé;1;CHLORHYDRATE DE LOPÉRAMIDE;LOPERAMIDE TEVA 2 mg, comprimé pelliculé
collyre en solution;1;LATANOPROST;LATANOPROST TEVA 0,005 %, collyre en solution
gélule;1;PIROXICAM;PIROXICAM MYLAN 10 mg, gélule
solution injectable;1;RITUXIMAB ;MABTHERA 1400 mg, solution pour injection sous-cutanée
comprimé pelliculé sécable;1;FLUVOXAMINE (MALÉATE DE);FLUVOXAMINE TEVA 50 mg, comprimé pelliculé sécable
comprimé orodispersible;1;ÉBASTINE;EBASTINE ZENTIVA 10 mg, comprimé orodispersible
gomme à mâcher médicamenteux(se);1;NICOTINE (RÉSINATE DE);NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse
solution et  solution pour dialyse péritonéale;6;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;BICARBONATE DE SODIUM;SOLUTION DE (S)-LACTATE DE SODIUM;CHLORURE DE CALCIUM DIHYDRATÉ;PHYSIONEAL 40 GLUCOSE 3,86 % CLEARFLEX, solution pour dialyse péritonéale
collyre en solution;1;CHLORHYDRATE DE CARTÉOLOL;CARTEOL 1 %, collyre en solution
solution injectable;1;CHLORHYDRATE DE TRAMADOL;CONTRAMAL 100 mg/2 ml, solution injectable
poudre pour suspension buvable;1;DIOSMECTITE;SMECTA 3 g FRAISE, poudre pour suspension buvable en sachet
 comprimé et solution(s) et granules et poudre et pommade;1;NATRUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;NATRUM PHOSPHORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé effervescent(e);1;RANITIDINE (CHLORHYDRATE DE);AZANTAC 300 mg, comprimé effervescent
gélule;1;CÉLÉCOXIB;CELECOXIB ZYDUS 200 mg, gélule
gélule;1;ATAZANAVIR (SULFATE D');REYATAZ 150 mg, gélule
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE TAMSULOSINE;OMEXEL L.P. 0,4 mg, comprimé pelliculé à libération prolongée
solution buvable;1;OXOMÉMAZINE;OXOMEMAZINE H2 PHARMA 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
 comprimé et solution(s) et granules et poudre et pommade;1;UVA URSI POUR PRÉPARATIONS HOMÉOPATHIQUES;UVA URSI LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gelée;3;PARAFFINE LIQUIDE;VASELINE;LACTULOSE;TRANSULOSE, gelée orale en pot
collyre en solution;2;CHLORHYDRATE DE DORZOLAMIDE;TIMOLOL (MALÉATE DE);COSOPT 20 mg/ml + 5 mg/ml, collyre en solution
comprimé orodispersible;1;ARIPIPRAZOLE;ARIPIPRAZOLE TEVA 15 mg, comprimé orodispersible
pâte pour usage dentaire;1;MÉTRONIDAZOLE;IMIZINE 10 POUR CENT, pâte pour usage dentaire
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE EG 150 mg/12,5 mg, comprimé pelliculé
comprimé;1;DICHLORHYDRATE DE BÉTAHISTINE;SERC 8 mg, comprimé
comprimé pelliculé;1;GABAPENTINE;NEURONTIN 800 mg, comprimé pelliculé
collyre en solution;1;LATANOPROST;LATANOPROST PFIZER 50 microgrammes/ml, collyre en solution
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;ESOMEPRAZOLE KRKA 20 mg, gélule gastro-résistante
comprimé pelliculé;1;MYCOPHÉNOLATE MOFÉTIL;MYCOPHENOLATE MOFETIL SANDOZ 500 mg, comprimé pelliculé
poudre et  solvant pour suspension injectable à libération prolongée;1;TRIPTORÉLINE (EMBONATE DE);SALVACYL L.P. 11,25 mg, poudre et solvant pour suspension injectable à libération prolongée
gélule;1;STAVUDINE;ZERIT 30 mg, gélule
poudre pour solution injectable ou pour perfusion;1;CHLORHYDRATE DE RÉMIFENTANIL;ULTIVA 1 mg, poudre pour solution injectable ou pour perfusion
crème;1;ESTRIOL;TROPHICREME 0,1 POUR CENT, crème vaginale
comprimé orodispersible;1;ZOLMITRIPTAN;ZOLMITRIPTAN SANDOZ 2,5 mg, comprimé orodispersible
pommade;1;DIFLUCORTOLONE (VALÉRATE DE);NERISONE, pommade
gélule et  gélule gastro-résistant(e);3;SIMÉTICONE;CHARBON ACTIVÉ;MAGNÉSIUM (OXYDE DE) LOURD;CARBOSYMAG, gélule
poudre pour solution à diluer pour perfusion;1;PHOSPHATE DE TÉDIZOLID;SIVEXTRO 200 mg, poudre pour solution à diluer pour perfusion
collyre en solution;1;CÉTHEXONIUM (BROMURE DE);SEDACOLLYRE CETHEXONIUM 0,25 POUR MILLE, collyre en solution
comprimé sécable;1;FUROSÉMIDE;LASILIX SPECIAL 500 mg, comprimé sécable
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE ALS 20 mg, gélule gastro-résistante
comprimé pelliculé;2;SPIRAMYCINE;MÉTRONIDAZOLE;SPIRAMYCINE/METRONIDAZOLE CRISTERS 1,5 M UI/250 mg, comprimé pelliculé
solution buvable;1;CUIVRE (GLUCONATE DE);CUIVRE OLIGOSOL, solution buvable en ampoule
comprimé;1;MYCOPHÉNOLATE MOFÉTIL;CELLCEPT 500 mg, comprimé pelliculé
comprimé à libération prolongée;1;CHLORHYDRATE DE TAMSULOSINE;TAMSULOSINE ZENTIVA LP 0.4 mg, comprimé à libération prolongée
poudre pour solution pour perfusion;1;CHLORHYDRATE D'IDARUBICINE;ZAVEDOS 5 mg, poudre pour solution pour perfusion
gélule;1;FLUCONAZOLE;FLUCONAZOLE ACTAVIS 50 mg, gélule
solution buvable;1;CAPTOPRIL;NOYADA 5 mg/5ml, solution buvable
solution pour perfusion;1;MANNITOL;MANNITOL 10 POUR CENT MACO PHARMA, solution pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;1;CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CUPRUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution pour application;2;BENZALKONIUM (CHLORURE DE), SOLUTION DE;CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE;BISEPTINESCRUB, solution pour application cutanée
 comprimé et solution(s) et granules et poudre et pommade;1;IRIS VERSICOLOR POUR PRÉPARATIONS HOMÉOPATHIQUES;IRIS VERSICOLOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE D'OXYCODONE;OXYCODONE EG LP 30 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé sécable;1;TARTRATE DE CYAMÉMAZINE;TERCIAN 25 mg, comprimé pelliculé sécable
